class_id,trio_id,n1,n2,n3
12,2,2,37,42
12,3,3,13,23
12,4,4,9,29
12,5,5,40,45
12,6,7,12,17
12,7,8,33,43
12,8,10,15,20
12,9,11,31,36
12,10,14,34,39
12,11,16,21,41
12,12,18,28,38
12,13,19,24,44
12,14,22,27,32
12,15,25,30,35
13,1,1,11,21
13,2,2,7,27
13,3,3,38,43
13,4,4,14,24
13,5,5,10,30
13,6,6,31,41
13,7,8,13,18
13,8,9,34,44
13,9,12,32,37
13,10,15,35,40
13,11,16,26,36
13,12,17,22,42
13,13,19,29,39
13,14,20,25,45
13,15,23,28,33
14,1,1,36,41
14,2,2,12,22
14,3,3,8,28
14,4,4,39,44
14,5,5,15,25
14,6,6,11,16
14,7,7,32,42
14,8,9,14,19
14,9,10,35,45
14,10,13,33,38
14,11,17,27,37
14,12,18,23,43
14,13,20,30,40
14,14,21,26,31
14,15,24,29,34
15,1,1,8,27
15,2,2,10,21
15,3,3,37,44
15,4,4,11,30
15,5,5,13,24
15,6,6,32,40
15,7,7,14,18
15,8,9,35,43
15,9,12,31,38
15,10,15,34,41
15,11,16,23,42
15,12,17,25,36
15,13,19,26,45
15,14,20,28,39
15,15,22,29,33
16,1,1,35,42
16,2,2,9,28
16,3,3,11,22
16,4,4,38,45
16,5,5,12,16
16,6,6,14,25
16,7,7,33,41
16,8,8,15,19
16,9,10,36,44
16,10,13,32,39
16,11,17,24,43
16,12,18,26,37
16,13,20,27,31
16,14,21,29,40
16,15,23,30,34
17,1,1,9,20
17,2,2,36,43
17,3,3,10,29
17,4,4,12,23
17,5,5,31,39
17,6,6,13,17
17,7,7,15,26
17,8,8,34,42
17,9,11,37,45
17,10,14,33,40
17,11,16,24,35
17,12,18,25,44
17,13,19,27,38
17,14,21,28,32
17,15,22,30,41
18,1,1,16,31
18,2,2,17,32
18,3,3,18,33
18,4,4,10,22
18,5,5,8,29
18,6,6,12,24
18,7,7,34,40
18,8,9,36,42
18,9,11,15,28
18,10,13,41,45
18,11,14,35,38
18,12,19,25,37
18,13,20,23,44
18,14,21,27,39
18,15,26,30,43
19,1,1,33,44
19,2,2,38,41
19,3,3,14,16
19,4,4,19,34
19,5,5,20,35
19,6,6,21,36
19,7,7,13,25
19,8,8,11,17
19,9,9,15,27
19,10,10,37,43
19,11,12,39,45
19,12,18,29,31
19,13,22,28,40
19,14,23,26,32
19,15,24,30,42
20,1,1,10,28
20,2,2,6,19
20,3,3,12,30
20,4,4,32,36
20,5,5,41,44
20,6,7,22,37
20,7,8,23,38
20,8,9,24,39
20,9,11,14,20
20,10,13,31,40
20,11,15,33,42
20,12,16,25,43
20,13,17,21,34
20,14,18,27,45
20,15,26,29,35
21,1,1,34,43
21,2,2,14,23
21,3,3,36,45
21,4,4,13,16
21,5,5,9,22
21,6,6,15,18
21,7,7,35,39
21,8,8,32,44
21,9,10,25,40
21,10,11,26,41
21,11,12,27,42
21,12,17,29,38
21,13,19,28,31
21,14,20,24,37
21,15,21,30,33
22,1,1,7,19
22,2,2,5,26
22,3,3,9,21
22,4,4,31,37
22,5,6,33,39
22,6,8,12,25
22,7,10,38,42
22,8,11,32,35
22,9,13,28,43
22,10,14,29,44
22,11,15,30,45
22,12,16,22,34
22,13,17,20,41
22,14,18,24,36
22,15,23,27,40
