"experiment_id","field2","field3","field4","field5","field6","field7","field8"
"EXP-DRAW-20260821-043-V1","FREQUENCY LAB","DRAW","누적 빈도 rank (EXP-013)","LOCAL_SETTLEMENT","FAILED_EARLY","NONE","false"
"EXP-DRAW-20260821-044-V1","BONUS TRANSITION LAB","DRAW","직전 BONUS→다음 MAIN (EXP-014)","LOCAL_SETTLEMENT","FAILED_EARLY","NONE","false"
"EXP-DRAW-20260821-045-V1","BONUS ROLE LAB","DRAW","BONUS 상대 순위 교환가능성 (EXP-015)","LOCAL_SETTLEMENT","FAILED_EARLY","NONE","false"
"EXP-DRAW-20260821-046-V1","MARGINAL LABEL LAB","DRAW","번호 라벨 이질성·지속성 (EXP-016)","LOCAL_SETTLEMENT","FAILED_EARLY","NONE","false"
"EXP-DRAW-20260824-010-V1","OFFICIAL-PAIR-LIFECYCLE-REPAIR-APPLY-001","PAIR OFFICIAL CHANGE CONTROL","DRAW","OFFICIAL PAIR LIFECYCLE REPAIR APPLY AUDIT","USER-APPROVED SEALED CHANGE CONTROL","OFFICIAL_REPAIR_APPLIED_AND_VERIFIED","false"
"EXP-DRAW-20260827-017-V1","EXP-017","TRIO ORBIT CONSENSUS NUMBER LAB","DRAW","TRIO ORBIT CONSENSUS NUMBER EFFECT V1","SHA-256 LOCKED BEFORE OUTCOME TEST","FAILED_NOT_SUPPORTED","false"
"EXP-DRAW-20260827-018-V1","EXP-018","RESIDUAL NEIGHBOR CLOSURE LAB","DRAW","RESIDUAL NEIGHBOR EFFECT / ADJACENCY AXIS CLOSURE V1","SHA-256 LOCKED BEFORE OUTCOME TEST","READY_FOR_TEST","false"
"EXP-DRAW-20260827-018-V2","EXP-018 V2","RESIDUAL NEIGHBOR CLOSURE LAB","DRAW","RESIDUAL NEIGHBOR EFFECT / ADJACENCY AXIS CLOSURE V2","PERCENTILE BOOTSTRAP CLARIFICATION LOCKED BEFORE OUTCOME","AXIS_CLOSED_NO_PRACTICALLY_USEFUL_RESIDUAL_NEIGHBOR_EFFECT","false"
"EXP-DRAW-20260827-019-V1","EXP-019","SALES-ADJUSTED CROWD EFFECT LAB","DRAW","SALES-ADJUSTED BIRTHDAY-RANGE CROWD EFFECT V1","LOCKED BEFORE OFFICIAL-DATA ACQUISITION","FAILED_NOT_SUPPORTED","false"
"EXP-DRAW-20260828-020-V1","EXP-020","LAGGED CROWD METADATA SIGNAL LAB","DRAW","LAGGED WINNER-COUNT REGIME NEXT-DRAW NUMBER SIGNAL V1","LOCKED BEFORE TRAIN RELATIONSHIP","FAILED_NO_SELECTION_SIGNAL","false"
